Sim_step,lamda_xx,lamda_yy,lamda_zz,lamda_yz,lamda_xz,lamda_xy
3.19,0.0098,0.0027,-0.0098,0.0067,-0.0035,0.002
3.2,0.0098,0.0027,-0.0098,0.0067,-0.0035,0.002
3.21,0.0098,0.0027,-0.0098,0.0067,-0.0035,0.002
3.22,0.0099,0.0027,-0.0099,0.0067,-0.0035,0.002
3.23,0.0096,0.0027,-0.0097,0.0066,-0.0034,0.002
3.24,0.0096,0.0026,-0.0096,0.0065,-0.0034,0.002
3.25,0.01,0.0028,-0.01,0.0068,-0.0035,0.0021
3.26,0.0102,0.0028,-0.0102,0.0069,-0.0036,0.0021
3.27,0.01,0.0028,-0.01,0.0068,-0.0036,0.0021
3.28,0.0098,0.0027,-0.0098,0.0067,-0.0035,0.002
3.29,0.0097,0.0026,-0.0096,0.0066,-0.0034,0.002
3.3,0.0096,0.0026,-0.0095,0.0065,-0.0034,0.0019
3.31,0.0093,0.0025,-0.0092,0.0063,-0.0033,0.0019
3.32,0.0097,0.0026,-0.0096,0.0065,-0.0034,0.002
3.33,0.0094,0.0026,-0.0094,0.0064,-0.0034,0.0019
3.34,0.0094,0.0025,-0.0093,0.0064,-0.0033,0.0019
3.35,0.0093,0.0025,-0.0092,0.0063,-0.0033,0.0018
3.36,0.0093,0.0025,-0.0092,0.0063,-0.0033,0.0019
3.37,0.0088,0.0023,-0.0087,0.0059,-0.0032,0.0017
3.38,0.0092,0.0025,-0.009,0.0062,-0.0032,0.0018
3.39,0.0085,0.0022,-0.0083,0.0057,-0.0031,0.0016
3.4,0.0088,0.0023,-0.0087,0.0059,-0.0031,0.0017
3.41,0.0087,0.0023,-0.0086,0.0058,-0.0031,0.0017
3.42,0.0084,0.0022,-0.0082,0.0056,-0.003,0.0016
3.43,0.0089,0.0023,-0.0087,0.0059,-0.0031,0.0017
3.44,0.0091,0.0024,-0.0089,0.0061,-0.0032,0.0018
3.45,0.0092,0.0025,-0.009,0.0061,-0.0033,0.0018
3.46,0.008,0.0021,-0.0078,0.0053,-0.0029,0.0015
3.47,0.0078,0.002,-0.0075,0.0052,-0.0028,0.0015
3.48,0.0072,0.0018,-0.0068,0.0047,-0.0026,0.0013
3.49,0.0074,0.0019,-0.0071,0.0049,-0.0027,0.0013
3.5,0.0072,0.0018,-0.0068,0.0047,-0.0026,0.0013
3.51,0.0066,0.0016,-0.0062,0.0043,-0.0024,0.0011
3.52,0.007,0.0017,-0.0066,0.0046,-0.0025,0.0012
3.53,0.0063,0.0015,-0.0059,0.0041,-0.0023,0.001
3.54,0.0062,0.0015,-0.0058,0.0041,-0.0023,0.001
3.55,0.0065,0.0016,-0.0061,0.0042,-0.0024,0.0011
3.56,0.0069,0.0017,-0.0065,0.0045,-0.0025,0.0012
3.57,0.0058,0.0013,-0.0054,0.0037,-0.0022,0.0009
3.58,0.0053,0.0011,-0.0048,0.0034,-0.0019,0.0008
3.59,0.005,0.0011,-0.0045,0.0032,-0.0018,0.0007
3.6,0.0044,0.0009,-0.0038,0.0028,-0.0016,0.0006
3.61,0.0042,0.0008,-0.0035,0.0026,-0.0015,0.0005
3.62,0.0023,0.0002,-0.0016,0.0013,-0.001,1e-04
