Fiber 2_right: Idx,x (mm),y (mm),z (mm),Cutting plane x
347,1.1,-7.464642068243469,22.935442742435985,1.1
348,1.1,-9.132590628238855,23.032313496993712,1.1
349,2.131205656421022,-8.967638048425304,23.0742701927976,1.1
350,3.438799016578771,-8.547960437809204,23.121748115005,1.1
351,4.669017733326004,-7.938870400802238,23.169226037212404,1.1
352,5.794614788447312,-7.154039397938075,23.216703959419807,1.1
353,6.790687298991227,-6.211029189013797,23.26418188162721,1.1
354,7.635227464884146,-5.1308988853303665,23.311659803834612,1.1
355,8.309608809496627,-3.937734676753739,23.359137726042015,1.1
356,8.798996970434454,-2.658112734977417,23.406615648249417,1.1
357,9.092675981351336,-1.3205072694745357,23.45409357045682,1.1
358,9.184282868878476,0.04534307932344446,23.501571492664223,1.1
359,9.071945429865739,1.4090964106893753,23.549049414871625,1.1
360,8.758320207597782,2.740481598506005,23.596527337079028,1.1
361,8.25052990358373,4.009970216964987,23.64400525928643,1.1
362,7.560001694631692,5.18943144238126,23.691483181493833,1.1
363,6.702210123623767,6.252755406279849,23.738961103701236,1.1
364,5.696330347913756,7.176431186891211,23.78643902590864,1.1
365,4.564809514685481,7.940066644241092,23.83391694811604,1.1
366,3.3328658439593033,8.526838605306857,23.88139487032344,1.1
367,2.027926597138908,8.923863461116555,23.928872792530843,1.1
368,1.1,9.057440118061168,23.96673519685871,1.1
