Fiber 1_left: Idx,x (mm),y (mm),z (mm),Cutting plane x
287,-1.0,6.45349770889033,21.13313237047415,-1
288,-1.0,5.028945536408251,21.21468919720987,-1
289,-1.0,3.6043933639261723,21.29624602394559,-1
290,-1.0,2.1798411914440945,21.377802850681306,-1
291,-1.0,0.7552890189620154,21.459359677417027,-1
292,-1.0,-0.669263153520065,21.540916504152747,-1
293,-1.0,-2.0938153260021424,21.622473330888464,-1
294,-1.0,-3.5183674984842197,21.70403015762418,-1
295,-1.0,-4.9429196709663,21.785586984359902,-1
296,-1.0,-6.36747184344838,21.86714381109562,-1
297,-1.0,-7.792024015930457,21.94870063783134,-1
298,-1.0,-9.216576188412535,22.030257464567057,-1
299,-2.3372338347098522,-8.995471517737109,22.08091520610305,-1
300,-4.272604538459213,-8.247652017486734,22.152143964832415,-1
301,-5.992752473702319,-7.089685127858544,22.22337272356178,-1
302,-7.412205484320917,-5.57976629632647,22.294601482291146,-1
303,-8.460578631508474,-3.7935625056402444,22.36583024102051,-1
304,-9.08606418778332,-1.8204204461836744,22.437058999749876,-1
305,-9.257991622531607,0.24110260128618863,22.50828775847924,-1
306,-8.968331092588937,2.2881616296211607,22.579516517208603,-1
307,-8.232066757588928,4.2187546232352,22.650745275937968,-1
308,-7.086422655700565,5.936805169507354,22.721974034667333,-1
309,-5.588981084791486,7.356943704674538,22.7932027933967,-1
310,-3.8147885846238934,8.408749456314407,22.864431552126064,-1
311,-1.8525949610557573,9.040242306475978,22.93566031085543,-1
312,-1.0,9.145198640205251,22.970018717002713,-1
313,-2.142653190179212,-8.885376612819504,24.07532045052526,-1
314,-4.058530521522983,-8.183437509093956,24.146549209254626,-1
315,-5.769840517691047,-7.074514798534962,24.21777796798399,-1
316,-7.191543715943014,-5.614363592732962,24.289006726713357,-1
317,-8.253136326624936,-3.876176110532061,24.360235485442722,-1
318,-8.902146485048066,-1.9469129104811358,24.431464244172087,-1
319,-9.106727601000255,0.07704765092773062,24.502693002901452,-1
320,-8.857220643400757,2.094724084712794,24.573921761630814,-1
321,-8.166608740586357,4.005570038497798,24.64515052036018,-1
322,-7.06984277631018,5.714484794984171,24.716379279089544,-1
323,-5.622072956988817,7.13654631312715,24.78760803781891,-1
324,-3.895875809997153,8.20123125548849,24.858836796548275,-1
325,-1.9776160324857102,8.855912298647262,24.93006555527764,-1
